timestamp,quat_i,quat_j,quat_k,quat_real,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,source_session
2026-09-07 13:00:00.884907,0.5921630859375,0.3707275390625,0.4686279296875,0.5406494140625,0.0,0.0,0.0,0.0,0.0,0.0,20260907_125957
2026-09-07 13:00:01.043727,0.59100341796875,0.36993408203125,0.47119140625,0.54022216796875,0.30859375,-0.1875,0.234375,-0.033203125,0.02734375,0.02734375,20260907_125957
2026-09-07 13:00:01.119341,-1.40850830078125,0.3677978515625,0.4744873046875,0.53826904296875,0.2421875,-0.32421875,0.203125,-0.01953125,0.029296875,0.013671875,20260907_125957
2026-09-07 13:00:01.214729,0.5916748046875,0.3656005859375,0.477783203125,0.53662109375,0.125,0.0078125,0.26171875,-0.017578125,0.02734375,0.01953125,20260907_125957
2026-09-07 13:00:01.316099,0.591552734375,0.36444091796875,0.4794921875,0.5360107421875,0.22265625,-0.3203125,-0.125,-0.01953125,0.03125,0.017578125,20260907_125957
2026-09-07 13:00:01.419293,0.590087890625,0.36016845703125,0.48577880859375,0.53485107421875,0.0859375,0.28515625,-0.5390625,-0.07421875,0.0390625,0.03125,20260907_125957
2026-09-07 13:00:01.500422,0.58929443359375,0.359130859375,0.48773193359375,0.53460693359375,-0.328125,0.0078125,0.52734375,-0.01171875,0.04296875,0.037109375,20260907_125957
2026-09-07 13:00:01.611884,0.58856201171875,0.35784912109375,0.49176025390625,0.53265380859375,-0.4140625,-0.0078125,0.625,-0.009765625,0.025390625,0.03515625,20260907_125957
2026-09-07 13:00:01.711620,0.58697509765625,0.3570556640625,0.49395751953125,0.53289794921875,-0.16796875,-0.26953125,0.24609375,0.01171875,0.01953125,0.048828125,20260907_125957
2026-09-07 13:00:01.810238,0.5853271484375,0.35711669921875,0.49603271484375,0.53271484375,0.125,-0.45703125,-0.12109375,0.02734375,0.037109375,0.01953125,20260907_125957
2026-09-07 13:00:01.913783,0.58404541015625,0.35772705078125,0.49774169921875,0.53216552734375,0.0625,0.09375,-0.3203125,0.0,0.03515625,0.001953125,20260907_125957
2026-09-07 13:00:02.010964,0.58282470703125,0.35784912109375,0.49896240234375,0.5322265625,-0.19921875,0.29296875,-0.44921875,-0.029296875,0.021484375,0.0,20260907_125957
2026-09-07 13:00:02.136577,0.58258056640625,0.3583984375,0.49951171875,0.5316162109375,-0.19140625,0.0859375,-0.0546875,-0.033203125,0.037109375,0.005859375,20260907_125957
2026-09-07 13:00:02.216926,0.5816650390625,0.36041259765625,0.499755859375,0.53106689453125,-0.17578125,-0.12109375,0.10546875,-0.04296875,0.048828125,-0.005859375,20260907_125957
2026-09-07 13:00:02.319022,0.5804443359375,0.3626708984375,0.49957275390625,0.531005859375,-0.01171875,-0.7109375,0.5859375,0.017578125,0.033203125,-0.03515625,20260907_125957
2026-09-07 13:00:02.429061,0.579345703125,0.36492919921875,0.49920654296875,0.53094482421875,-0.125,-0.0078125,-0.203125,0.013671875,0.03125,-0.03125,20260907_125957
2026-09-07 13:00:02.513577,0.5784912109375,0.3670654296875,0.49884033203125,0.53082275390625,0.2734375,0.13671875,0.0546875,0.029296875,0.02734375,-0.029296875,20260907_125957
2026-09-07 13:00:02.629350,0.57501220703125,0.3690185546875,0.49957275390625,0.5325927734375,0.45703125,1.0546875,-1.75,-0.107421875,0.0625,-0.029296875,20260907_125957
2026-09-07 13:00:02.718428,0.5718994140625,0.369873046875,0.5018310546875,0.53314208984375,-0.515625,1.3828125,0.23046875,-0.0390625,0.0546875,0.046875,20260907_125957
2026-09-07 13:00:02.813683,0.571533203125,0.3699951171875,0.50421142578125,0.53125,-0.31640625,0.546875,0.125,-0.017578125,0.048828125,0.046875,20260907_125957
2026-09-07 13:00:02.913823,0.57135009765625,0.36907958984375,0.50689697265625,0.52947998046875,-0.01953125,-0.14453125,0.01953125,-0.009765625,0.033203125,0.056640625,20260907_125957
2026-09-07 13:00:03.014483,0.5712890625,0.3697509765625,0.50872802734375,0.52734375,0.40234375,-0.47265625,-0.16015625,0.009765625,0.041015625,0.041015625,20260907_125957
2026-09-07 13:00:03.114463,0.5711669921875,0.370849609375,0.51068115234375,0.52484130859375,0.02734375,-0.71875,-0.01953125,0.01953125,0.0546875,0.029296875,20260907_125957
2026-09-07 13:00:03.215422,0.5712890625,0.371337890625,0.51318359375,0.5218505859375,0.25390625,-0.3828125,-0.3125,0.0,0.056640625,0.056640625,20260907_125957
2026-09-07 13:00:03.311450,0.57440185546875,0.37017822265625,0.5167236328125,0.51580810546875,-0.17578125,0.41015625,-0.15625,0.048828125,0.0546875,0.0625,20260907_125957
2026-09-07 13:00:03.412625,0.57696533203125,0.37060546875,0.51788330078125,0.51141357421875,0.08203125,0.15625,0.44921875,0.0703125,0.03515625,0.00390625,20260907_125957
2026-09-07 13:00:03.513486,0.57464599609375,0.37457275390625,0.51763916015625,0.51141357421875,0.23828125,1.2421875,-0.5078125,-0.0078125,0.064453125,-0.09375,20260907_125957
2026-09-07 13:00:03.612948,0.5712890625,0.380615234375,0.5167236328125,0.5115966796875,-0.87109375,0.20703125,-0.0703125,0.056640625,0.08203125,-0.115234375,20260907_125957
2026-09-07 13:00:03.711627,0.5687255859375,0.384521484375,0.51702880859375,0.51129150390625,-1.2734375,1.9765625,-0.0625,0.013671875,0.076171875,-0.0625,20260907_125957
2026-09-07 13:00:03.811699,0.5672607421875,0.3857421875,0.5186767578125,0.51025390625,-1.3828125,0.98046875,-0.421875,-0.041015625,0.05859375,0.021484375,20260907_125957
