timestamp,rpm,speed,coolant_temp,engine_load,throttle_pos
2026-09-07T13:10:15.583604,1382.0,17.4,152.6,22.7,20.4
2026-09-07T13:10:15.783806,1392.0,17.4,152.6,22.7,20.4
2026-09-07T13:10:15.984102,1400.0,17.4,152.6,22.4,20.4
2026-09-07T13:10:16.184346,1405.0,17.4,152.6,22.4,20.4
2026-09-07T13:10:16.384504,1417.0,18.0,152.6,22.7,20.4
2026-09-07T13:10:16.586542,1422.5,18.0,152.6,21.6,20.4
2026-09-07T13:10:16.786702,1432.0,18.0,152.6,21.6,20.4
2026-09-07T13:10:16.986903,1439.75,18.0,152.6,21.6,20.8
2026-09-07T13:10:17.188132,1443.75,18.0,152.6,21.6,20.8
2026-09-07T13:10:17.388315,1449.0,18.0,152.6,21.2,20.8
2026-09-07T13:10:17.589546,1461.0,18.0,152.6,21.6,21.6
2026-09-07T13:10:17.789824,1471.0,18.0,152.6,22.4,21.6
2026-09-07T13:10:17.989947,1471.0,18.6,152.6,22.7,21.2
2026-09-07T13:10:18.190083,1477.25,18.6,152.6,23.5,21.2
2026-09-07T13:10:18.390251,1483.5,18.6,152.6,24.7,22.4
2026-09-07T13:10:18.590426,1478.0,18.6,154.4,24.3,22.4
2026-09-07T13:10:18.790599,1480.0,18.6,154.4,24.3,22.4
2026-09-07T13:10:18.990737,1464.0,18.6,154.4,22.4,17.6
2026-09-07T13:10:19.190922,1442.0,18.6,154.4,13.7,18.0
2026-09-07T13:10:19.394530,1441.0,18.6,154.4,24.3,17.6
2026-09-07T13:10:19.594680,1429.5,18.0,154.4,11.4,17.6
2026-09-07T13:10:19.794827,1421.75,18.0,154.4,10.6,17.6
2026-09-07T13:10:19.994970,1400.0,18.0,154.4,9.0,16.9
2026-09-07T13:10:20.195271,1382.0,17.4,154.4,8.2,16.9
2026-09-07T13:10:20.395447,1360.0,17.4,154.4,8.6,16.9
2026-09-07T13:10:20.595588,1338.0,16.8,154.4,8.6,16.9
2026-09-07T13:10:20.795776,1314.0,16.8,154.4,9.0,16.9
2026-09-07T13:10:20.996194,1300.0,16.8,154.4,9.4,16.9
2026-09-07T13:10:21.196370,1285.75,16.2,154.4,9.4,16.9
2026-09-07T13:10:21.396545,1258.5,16.2,154.4,8.6,16.9
2026-09-07T13:10:21.596697,1239.75,15.5,154.4,10.2,16.9
