timestamp,rpm,speed,coolant_temp,engine_load,throttle_pos
2026-09-02T13:06:09.725849,1295.0,0.0,89.6,43.1,24.7
2026-09-02T13:06:09.926011,1283.0,0.0,89.6,43.5,24.7
2026-09-02T13:06:10.126112,1287.5,0.0,89.6,43.5,
2026-09-02T13:06:10.457152,1296.0,0.0,89.6,43.1,24.7
2026-09-02T13:06:10.658042,1304.5,0.0,89.6,43.1,24.7
2026-09-02T13:06:10.858577,1305.25,0.0,89.6,42.7,24.7
2026-09-02T13:06:11.062618,1311.5,0.0,89.6,42.7,24.7
2026-09-02T13:06:11.262766,1311.5,0.0,89.6,42.7,24.7
2026-09-02T13:06:11.462862,1303.0,0.0,89.6,42.7,24.7
2026-09-02T13:06:11.662986,1312.5,0.0,89.6,42.7,24.7
2026-09-02T13:06:11.863097,1317.0,0.0,89.6,42.4,24.7
2026-09-02T13:06:12.063237,1309.25,0.0,89.6,42.7,24.7
2026-09-02T13:06:12.263352,1317.0,0.0,89.6,42.7,24.7
2026-09-02T13:06:12.463444,1307.0,0.0,89.6,42.7,24.7
2026-09-02T13:06:12.663532,1300.0,0.0,89.6,42.7,24.7
2026-09-02T13:06:12.863628,1304.5,0.0,89.6,42.7,24.7
2026-09-02T13:06:13.063754,1296.0,0.0,89.6,42.7,24.7
2026-09-02T13:06:13.263875,1294.5,0.0,89.6,42.7,24.7
2026-09-02T13:06:13.463963,1302.25,0.0,89.6,42.7,24.7
2026-09-02T13:06:13.664064,1307.75,0.0,89.6,42.7,24.7
2026-09-02T13:06:13.864170,1300.0,0.0,89.6,42.7,24.7
2026-09-02T13:06:14.064282,1314.75,0.0,89.6,42.0,24.7
2026-09-02T13:06:14.264390,1308.5,0.0,89.6,42.4,24.7
2026-09-02T13:06:14.464488,1303.75,0.0,89.6,42.4,24.7
2026-09-02T13:06:14.664584,1306.25,0.0,89.6,42.4,24.7
2026-09-02T13:06:14.864687,1307.0,0.0,89.6,42.4,24.7
2026-09-02T13:06:15.064797,1306.25,0.0,89.6,42.0,24.7
2026-09-02T13:06:15.264902,1302.25,0.0,89.6,42.0,24.7
2026-09-02T13:06:15.465030,1303.0,0.0,89.6,42.4,24.7
2026-09-02T13:06:15.665186,1301.5,0.0,89.6,42.0,24.7
2026-09-02T13:06:15.865260,1314.75,0.0,89.6,42.0,24.7
2026-09-02T13:06:16.065386,1308.5,0.0,89.6,42.0,24.7
2026-09-02T13:06:16.265479,1307.0,0.0,89.6,41.6,24.7
2026-09-02T13:06:16.465582,1285.0,0.0,89.6,42.0,24.7
2026-09-02T13:06:16.665679,1294.5,0.0,89.6,42.0,24.7
2026-09-02T13:06:16.866593,1301.5,0.0,89.6,41.6,24.3
2026-09-02T13:06:17.066929,1301.5,0.0,89.6,41.6,24.3
2026-09-02T13:06:17.267070,1289.75,0.0,89.6,42.0,24.3
2026-09-02T13:06:17.467179,1288.25,0.0,89.6,41.6,24.3
2026-09-02T13:06:17.667301,1298.25,0.0,89.6,41.6,24.3
2026-09-02T13:06:17.867407,1295.25,0.0,89.6,41.6,24.3
